artist_ID,average tempo, average duration,average danceability
319,125.64,160595.5,0.62
320,106.73,206626.3,0.71
321,119.7,226805.0,0.67
322,99.19,255168.4,0.73
323,98.81,408920.0,0.67
324,135.71,154825.0,0.43
325,128.38,249890.1,0.68
326,134.34,325200.0,0.56
327,156.07,168741.0,0.65
328,128.03,327985.0,0.65
329,113.53,198966.5,0.87
330,107.34,253276.8,0.35
331,126.08,315113.2,0.71
332,81.87,223893.0,0.33
333,103.3,256189.0,0.65
334,124.98,268627.7,0.55
335,112.49,157783.5,0.63
336,110.02,176532.0,0.87
337,112.94,223718.8,0.49
338,88.86,409779.0,0.35
339,77.98,291987.0,0.56
340,119.94,227026.5,0.74
341,116.78,196889.4,0.66
342,76.74,123160.0,0.33
343,143.4,218853.5,0.63
344,130.4,241010.0,0.66
345,131.61,260413.2,0.37
346,97.72,193000.0,0.36
347,145.01,453103.0,0.57
348,126.73,291444.0,0.73
349,115.02,236446.2,0.48
350,115.82,187153.9,0.54
351,97.73,334503.2,0.49
352,125.0,204387.0,0.81
353,99.96,163960.0,0.62
354,106.05,591930.8,0.42
355,100.05,506923.0,0.38
356,116.77,635444.0,0.38
357,131.62,153228.0,0.6
358,131.99,536364.0,0.64
359,95.67,204853.0,0.42
360,135.04,154480.0,0.47
361,161.64,188640.0,0.46
362,106.6,182811.0,0.44
363,127.01,360945.0,0.79
364,126.0,374573.0,0.78
365,125.5,290328.0,0.49
366,109.83,187800.0,0.52
367,120.88,184040.0,0.49
368,106.45,214059.5,0.72
369,94.01,203380.0,0.87
370,87.27,197816.7,0.56
371,119.98,364000.0,0.86
372,126.67,470774.7,0.77
373,128.0,480467.0,0.84
374,128.02,372680.0,0.79
375,136.72,3164934.3,0.17
376,79.77,79387.0,0.41
377,130.16,173367.3,0.54
378,97.84,253293.0,0.7
379,131.56,223467.0,0.62
380,102.53,176395.5,0.25
381,120.14,60000.0,0.63
382,106.0,272467.0,0.64
383,113.27,77575.5,0.6
384,150.71,154773.0,0.16
385,160.02,196101.0,0.7
386,170.67,262218.0,0.51
387,85.49,224661.0,0.69
388,91.86,248595.7,0.75
389,135.03,469700.0,0.75
390,133.12,155515.8,0.51
391,212.98,102573.0,0.14
392,177.75,197493.0,0.4
393,137.97,83467.0,0.39
394,124.99,468480.0,0.9
395,113.02,189027.0,0.56
396,104.02,150542.8,0.58
397,103.96,266160.0,0.18
398,133.39,166593.0,0.15
399,107.85,253979.4,0.33
400,100.09,302988.7,0.29
401,103.4,177083.8,0.36
402,121.42,147007.0,0.76
403,115.6,138003.5,0.44
404,130.76,271338.2,0.43
405,178.49,184440.0,0.41
406,123.21,204227.0,0.72
407,117.47,243959.0,0.56
408,153.17,269339.4,0.68
409,109.96,287947.0,0.78
410,126.77,454740.0,0.4
411,134.37,533344.0,0.65
412,103.63,222997.4,0.72
413,123.99,185073.0,0.72
414,128.01,285000.0,0.56
415,112.35,172100.0,0.38
416,94.31,237619.9,0.81
417,97.88,190994.5,0.41
418,140.04,291707.0,0.39
419,124.54,313795.0,0.32
420,117.85,384867.0,0.32
421,120.02,188000.0,0.81
422,152.0,243278.0,0.71
423,110.87,177904.7,0.29
424,111.36,266423.2,0.6
425,142.3,289168.0,0.17
426,108.44,314623.5,0.6
427,140.0,450429.0,0.64
428,137.59,102182.0,0.38
429,138.0,503211.0,0.61
430,129.99,517294.0,0.73
431,79.64,284067.0,0.42
432,120.0,384000.0,0.66
433,131.27,177752.9,0.63
434,118.94,370526.0,0.64
435,174.64,191240.0,0.33
436,109.1,220406.6,0.6
437,99.94,175788.0,0.86
438,142.29,244880.0,0.56
439,74.99,188014.0,0.59
440,138.0,69573.0,0.4
441,129.88,265700.0,0.58
442,140.0,474857.0,0.54
443,113.4,213023.8,0.58
444,179.07,237347.0,0.27
445,148.16,35973.0,0.54
446,149.53,180520.2,0.53
447,119.97,267777.0,0.45
448,125.32,189600.0,0.56
449,91.84,328120.0,0.17
450,153.42,213169.0,0.64
451,128.04,396643.0,0.73
452,111.77,364102.7,0.41
453,128.12,221305.2,0.55
454,103.65,213569.1,0.63
455,125.14,370357.0,0.8
456,137.01,84053.0,0.41
457,136.99,477843.5,0.51
458,157.51,196246.0,0.6
459,120.06,295754.0,0.73
460,119.09,209836.7,0.51
461,131.79,349390.8,0.63
462,139.48,400693.5,0.45
463,136.02,112947.0,0.41
464,119.98,250760.0,0.79
465,103.29,196487.0,0.57
466,153.5,203493.0,0.69
467,130.66,78339.0,0.54
468,121.99,257705.0,0.89
469,129.86,209425.0,0.67
470,88.43,60080.0,0.45
471,116.8,250498.0,0.57
472,87.9,328706.7,0.45
473,115.76,190015.0,0.55
474,150.99,207400.0,0.42
475,139.78,248186.3,0.43
476,98.48,134713.0,0.62
