376,Bingo,217
377,Damoiselle IV,138
378,Crabe II-12,70
379,Nina Claire-30,70
380,Crabe II-1,70
381,Crabe II-4,70
382,Nina Claire-2,70
383,Qu'Importe,70
384,Konstanz,228
385,Suzy-2,20
386,Mouchette-2,75
387,Dansk Idrts Forbund,56
388,Marmara,208
389,Moseley Wanderers,75
390,Chicago Athletic Association-2,217
391,Devon and Somerset Wanderers,75
392,Unified Team-2,67
393,Mistral Hojris,75
394,Cook Islands,46
395,Mauritius-2,140
396,Albania,3
397,Romania-1,170
398,Pampero,9
399,Israel-2,99
400,Symphony,164
401,Sjhxa,164
402,Faneca,164
403,Ciocca III,164
404,"Marinai della nave da guerra ""Varese""",101
405,Lalage,75
406,Gallia II,172
407,Dinah V,80
408,Czech Republic-2,55
409,Nora,151
410,Monica,151
411,Kullan,194
412,Shoveller,171
413,Amateur Athletic Association,75
414,Circus,224
415,Aletta,96
416,Widgeon,217
417,Inca,30
418,Czech Republic-1,55
419,Relampago,13
420,Foxhunters Hurlingham,75
421,Thames Rowing Club,75
422,"Davenport Turngemeinde, Davenport",217
423,"Norwegier Turnverein, Brooklyn",217
424,Erna Signe,194
425,Sirene,151
426,Socit Nautique de Bayonne-2,70
427,Socit Nautique de Bayonne-1,70
428,Anitra,56
429,Snude,56
430,White Lady,56
431,Web II,56
432,Web III,56
433,Italy-3,101
434,Pistoja/Firenze,101
435,West Indies Federation,224
436,Posillipo III,64
437,Tritons Lillois-2,70
438,"Turnverein Vorwrts, Cleveland",217
439,Club Nautique de Franais-1,70
440,Monaco-1,138
441,Boreas-2,146
442,Peri,168
443,"New York Turnverein, New York",217
444,Tichiboo,200
445,Siames-Cat,200
446,Swaziland,195
447,India-1,93
448,Italia,101
449,Ausonia,101
450,Angelita,217
451,Burkina Faso,34
452,Nortazo,216
453,Tom Kyle,80
454,Tilly,80
455,Esterel-1,70
456,North Borneo,144
457,Wiking,9
458,Buraddoo,13
459,Heroine,75
460,Burundi,19
461,Chok,56
462,Atlanta,151
463,Germania II,80
464,Wannsee,80
465,Polyteknisk Roklub-1,56
466,Aruba,11
467,Buscape II,30
468,Nina,69
469,Norway-3,151
470,Kristiania Roklub-1,151
471,Kristiania Roklub,151
472,Ormsund Roklub-2,151
473,Chuckles,75
474,South Africa-2,171
475,Chinese Taipei,205
476,Winnipeg Shamrocks-1,37
477,Olle,70
478,United States-10,217
479,Camelia,164
480,Aschenbrodel,80
481,Whitini Star,70
482,Puerto Rico-1,166
483,Bera,151
484,Netherlands-2,146
485,Slaghoken,194
486,Slaghoken II,194
487,Great Britain/Germany,75
488,Nikh,82
489,Swift,75
490,Andorinha,30
491,Unified Team-1,67
492,Cupidon III,9
493,Athens-2,82
494,Bulgaria-2,33
495,Marga-2,194
496,Serendipity,37
497,L'Aile VI,70
498,Cercle de l'Aviron Roubaix-4,70
499,Caprice,37
500,"New College, Oxford-2",75
501,Compigne Polo Club,70
502,Vision,75
503,Cambridge University Boat Club-2,75
504,Trickson VI,37
505,St. Rose-2,217
506,Calcinhas,164
507,Gteborgs Roddfrening-2,194
508,Minerva Amsterdam,146
509,Chamukina,131
510,Nausikaa 4,131
511,New York Athletic Club-1,217
512,Arcturus,9
513,Belgium-1,20
514,St. Louis Southwest Turnverein #1-2,217
515,Nauru,152
516,Jo,151
517,Lucky Star,75
518,Namoussa,70
519,Briar,194
520,Panhellenios Gymnastikos Syllogos-1,82
521,Netherlands-1,146
522,Gabbiano,13
523,Gran Gesto,37
524,Ceres II,75
525,Covunco III,9
526,Chicago Archers,217
527,Royal Club Nautique de Gand,20
528,Roddklubben af 1912-1,194
529,Roddklubben af 1912-2,194
530,Bucintoro Venezia-1,101
531,Bucintoro Venezia,101
532,Edelweiss II-1,20
533,Bamba,101
534,Rush IV,217
535,Boston Archers,217
536,Ali-Baba IV,191
537,Ali-Baba VI,191
538,Ali-Baba IX,191
539,Upton Park FC,75
540,"BLO Polo Club, Rugby",75
541,Hurlingham-2,75
542,Leander Club-1,75
543,Indonesia-2,92
544,Western Rowing Club-3,217
545,Pigoule,70
546,South Vietnam,223
547,Snowten III,70
548,Hungaria,91
549,Libellule de Paris,75
550,Scram,37
551,United States Virgin Islands-2,100
552,United States Virgin Islands-1,100
553,Amstel Amsterdam,146
554,Scotland-3,75
555,Peri II,230
556,Liverpool Police Team-2,75
557,Vinha,13
558,Fantasio III,191
559,Pousse-Moi Pas VII,191
560,Norwegian Rowing Association,151
561,LaBandera,70
562,Gilliatt V,70
563,United States Golf Association-3,217
564,Trans-Mississippi Golf Association-2,217
565,China-2,42
566,China-1,42
567,Sarcelle-35,70
568,Sarcelle-3,70
569,Tango,9
570,Argentina-1,9
571,Brynhild-2,75
572,Espuma del Mar,220
573,Twins II,101
574,Pupilles de Neptune de Lille #2-1,70
575,Beaver,37
576,Monaco-2,138
577,Baccara,191
578,Cobweb-1,75
579,Ral-Club Barcelona,64
580,Vietnam,221
581,Elvis Va,80
582,Romolo,101
583,Aldebaran II,101
584,Aldebaran,101
585,Argus,164
586,Galatea II,101
587,Twins VIII,101
588,Antwerpia V,20
589,Lotta IV,194
590,Saga-2,194
591,Mari,194
592,Paula,13
593,Oranje,146
594,Willem-Six,146
595,DeRuyter,146
